"","Actinomyces-naeslundii","Actinomyces-oris","Actinomyces-sp.-oral-taxon-171","Actinomyces-sp.-oral-taxon-414","Actinomyces-sp.-oral-taxon-897","Aerococcus-urinaeequi","Aerococcus-viridans","Bacillus-cereus","Brevibacterium-linens","Brevundimonas-diminuta","Brevundimonas-vesicularis","Cardiobacterium-hominis","Chryseobacterium-gleum","Chryseobacterium-indologenes","Chryseobacterium-taklimakanense","Corynebacterium-doosanense","Corynebacterium-jeikeium","Corynebacterium-sanguinis","Corynebacterium-simulans","Corynebacterium-singulare","Corynebacterium-stationis","Corynebacterium-striatum","Corynebacterium-ureicelerivorans","Corynebacterium-variabile","Corynebacterium-xerosis","Cutibacterium-acnes","Cutibacterium-avidum","Dermacoccus-nishinomiyaensis","Dolosigranulum-pigrum","Epidermidibacterium-keratini","Fusobacterium-nucleatum","Gardnerella-vaginalis","Gemella-haemolysans","Gordonia-bronchialis","Gordonia-terrae","Haematobacter-massiliensis","Haemophilus-parainfluenzae","Klebsiella-aerogenes","Lactobacillus-delbrueckii","Lactobacillus-iners","Lactobacillus-reuteri","Lactococcus-lactis","Lautropia-mirabilis","Lawsonella-clevelandensis","Leptotrichia-sp.-oral-taxon-212","Leptotrichia-wadei","Lysobacter-oculi","Malassezia-furfur","Malassezia-restricta","Massilia-oculi","Moraxella-osloensis","Neisseria-elongata","Neisseria-mucosa","Neisseria-subflava","Pantoea-dispersa","Porphyromonas-gingivalis","Prevotella-denticola","Prevotella-intermedia","Prevotella-melaninogenica","Pseudomonas-aeruginosa","Pseudomonas-mendocina","Pseudomonas-monteilii","Pseudopropionibacterium-propionicum","Rothia-aeria","Rothia-dentocariosa","Rothia-mucilaginosa","Schaalia-odontolytica","Staphylococcus-aureus","Staphylococcus-haemolyticus","Staphylococcus-pettenkoferi","Staphylococcus-saprophyticus","Staphylococcus-sciuri","Staphylococcus-warneri","Streptococcus-cristatus","Streptococcus-mitis","Streptococcus-pneumoniae","Streptococcus-sanguinis","Streptococcus-thermophilus","Tannerella-sp.-oral-taxon-HOT-286","Tsukamurella-tyrosinosolvens","Veillonella-parvula","Weissella-confusa"
"sample_25",0,0,0,0,0,0,0,0,0,0.164062482376101,0.0820312411880503,0.0410156205940251,0,0,0.0410156205940251,0,0.0820312411880503,0.0410156205940251,0,0.0820312411880503,0,0,0.0820312411880503,0,0,1.72265606494906,0,0,0.0410156205940251,0,0,0,0,0,0.0410156205940251,0.0410156205940251,0.0410156205940251,0,0,0.0410156205940251,0,0,0.123046861782075,0,0,0,0,0.0820312411880503,8.6542959453393,0,2.87109344158176,0,0,0,0,0,0,0,0,0.0820312411880503,0.0410156205940251,0,0,0,0,0.164062482376101,0,0.0410156205940251,0,0,0,0,0.0410156205940251,0,0,0,0,0,0,0,0,0
"sample_26",0,0,0,0,0,0,0,0,0,2.30035298605713,1.49212085582084,0,1.98949447442778,0,0,0,0,0,0.248686809303473,0,0,0,0,0,0,4.53853426978838,0,0.994747237213892,0,0,0,1.1812623441915,0,0,0,0,0.497373618606946,0.683888725584551,0,0,0,0,0,0,0,0,0,0,4.04116065118144,0,4.41419086513665,0,0,0,0,0,0,0,0,0,0.994747237213892,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.33100811166635,0,0,0
"sample_27",0,0,0,0,0,0,0,0,0,0.219899231177313,0.219899231177313,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0549748077943282,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.15447096368089,1.04452134809224,0,7.14672501326267,0,0,0,0,0,0,0,0,0.0549748077943282,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"sample_28",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.139397146373137,0,0,0,0,0.139397146373137,0,0.139397146373137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.139397146373137,0.139397146373137,0,0.696985731865686,0,0,0,0,0,0,0,0,0.139397146373137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"sample_29",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.685337321241679,0,0,0.0297972748365947,0,0,0.0297972748365947,0.119189099346379,0.0297972748365947,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.102499168954,0,0.238378198692758,0,0,0,0,0,0,0,0.0297972748365947,0,0,0,0,0,0,0,0.0297972748365947,0,0.0297972748365947,0,0,0,0,0,0,0,0,0,0,0,0,0
"sample_30",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.547666431873278,0,0,0.97362921221916,0,0,0.0202839419212325,0,0,0,0,0.0202839419212325,0,0,0.040567883842465,0,0,0.0202839419212325,0.040567883842465,0,0,0.0608518257636975,0,0.48681460610958,0,2.29208543709927,0,0,0,0,0,0,0,0,0,0.0202839419212325,0,0,0,0.040567883842465,0.0202839419212325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.60243141177737
"sample_31",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0291382236324863,0,0,0.0291382236324863,0,0,2.38933433786388,0,0,0,0,0,0.203967565427404,0,0,0,0,0,0.0291382236324863,0,1.4860494052568,0,0,0,0.0291382236324863,0.0291382236324863,0,0,0,0.786732038077131,0,1.16552894529945,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0291382236324863,0,0,0,0,0,0.0291382236324863,0,0,0,0,0,0,0,0,0,0,0.0582764472649727
"sample_32",0,0,0,0,0,0,0,0,0,0.069651219082651,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.74128047706627,0,0,0,0,0,0,0,0,0,0,0,0.139302438165302,0,0,0,0,0.0348256095413255,0.139302438165302,0,0,0,0,1.18407072440507,0,0.870640238533137,0,0,0,0,0,0,0,0,0.104476828623976,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0348256095413255,0,0,0,0
"sample_33",0,0.023700274572421,0,0,0,0.023700274572421,0,0,0.023700274572421,0,0,0,0.023700274572421,0,0,0,0.047400549144842,0,0.023700274572421,0.402904667731157,0,0,0.165901922006947,0.023700274572421,0,46.2866362399382,0.165901922006947,0.023700274572421,0.023700274572421,0.118501372862105,0,0,0,0.379204393158736,0,0,0,0.118501372862105,0,0.047400549144842,0,0,0.047400549144842,0.97171125746926,0,0,0,0.023700274572421,26.3310050499597,0,4.12384777560125,0,0,0.047400549144842,0,0,0,0,0,0.023700274572421,0,0,0,0,0.023700274572421,0.0711008237172629,0.0711008237172629,0,0,0,0,0,0,0.047400549144842,0,0,0.047400549144842,0,0,13.5565570554248,0,0
"sample_34",0,0.0170317539509709,0,0,0,0,0,0,0,0.0340635079019419,0,0,0,0,0,0,0,0,0,0,0,0,0.0170317539509709,0,0,0.834555943597575,0,0,0.0340635079019419,0,0.0170317539509709,0.0510952618529128,0.0851587697548546,0,0,0,0,0,0,0.0170317539509709,0,0,0,0.136254031607767,0,0,0,0.0340635079019419,0.800492435695634,0,0.153285785558738,0,0,0,0,0,0,0,0,0.0170317539509709,0,0,0,0,0,0,0,0,0.0510952618529128,0,0,0,0,0,0,0,0,0,0,0,0,0
